2024-09-10 13:53:54 [background-preinit] INFO  o.h.validator.internal.util.Version -  HV000001: Hibernate Validator 8.0.1.Final
2024-09-10 13:53:55 [cb-events] INFO  com.couchbase.core -  [com.couchbase.core][CoreCreatedEvent] {"clientVersion":"3.6.3","clientGitHash":"${buildNumber}","coreVersion":"2.6.3","coreGitHash":"${buildNumber}","userAgent":"couchbase-java/3.6.3 (Mac OS X 14.2.1 aarch64; OpenJDK 64-Bit Server VM 21.0.3+9-LTS)","maxNumRequestsInRetry":32768,"ioEnvironment":{"nativeIoEnabled":true,"eventLoopThreadCount":5,"eventLoopGroups":["KQueueEventLoopGroup"]},"ioConfig":{"captureTraffic":[],"mutationTokensEnabled":true,"networkResolution":"auto","dnsSrvEnabled":true,"tcpKeepAlivesEnabled":true,"tcpKeepAliveTimeMs":60000,"configPollIntervalMs":2500,"kvCircuitBreakerConfig":"disabled","queryCircuitBreakerConfig":"disabled","viewCircuitBreakerConfig":"disabled","searchCircuitBreakerConfig":"disabled","analyticsCircuitBreakerConfig":"disabled","managerCircuitBreakerConfig":"disabled","eventingCircuitBreakerConfig":"disabled","backupCircuitBreakerConfig":"disabled","numKvConnections":1,"maxHttpConnections":12,"idleHttpConnectionTimeoutMs":1000,"configIdleRedialTimeoutMs":300000,"memcachedHashingStrategy":"StandardMemcachedHashingStrategy","timerConfig":{"numTimers":1,"tickDurationMs":10,"numBuckets":512}},"compressionConfig":{"enabled":true,"minRatio":0.83,"minSize":32},"securityConfig":{"tlsEnabled":false,"nativeTlsEnabled":true,"hostnameVerificationEnabled":true,"trustCertificates":null,"trustManagerFactory":null,"ciphers":[]},"timeoutConfig":{"kvMs":2500,"kvDurableMs":10000,"kvScanMs":75000,"managementMs":75000,"queryMs":75000,"viewMs":75000,"searchMs":75000,"analyticsMs":75000,"connectMs":10000,"disconnectMs":10000,"eventingMs":75000,"backupMs":75000},"loggerConfig":{"diagnosticContextEnabled":false},"orphanReporterConfig":{"emitIntervalMs":10000,"sampleSize":10,"queueLength":1024,"enabled":true},"thresholdLoggingTracerConfig":{"enabled":true,"emitIntervalMs":10000,"sampleSize":10,"queueLength":1024,"kvThresholdMs":500,"queryThresholdMs":1000,"searchThresholdMs":1000,"analyticsThresholdMs":1000,"viewThresholdMs":1000,"transactionsThresholdMs":5000},"loggingMeterConfig":{"enabled":true,"emitIntervalMs":600000},"retryStrategy":"BestEffortRetryStrategy","requestTracer":"ThresholdLoggingTracer","meter":"LoggingMeter","numRequestCallbacks":0,"scheduler":"ParallelScheduler","schedulerThreadCount":10,"transactionsConfig":{"durabilityLevel":"MAJORITY","timeoutMs":15000,"cleanupConfig":{"runLostAttemptsCleanupThread":true,"runRegularAttemptsCleanupThread":true,"cleanupWindowMs":60000,"cleanupSet":""},"numAtrs":1024,"metadataCollection":"none","scanConsistency":"none"}} {"connectionString":"couchbase://127.0.0.1","coreId":"0xc4fd037600000001","numCoreInstances":1,"seedNodes":[{"address":"127.0.0.1"}]}
2024-09-10 13:53:55 [cb-events] INFO  com.couchbase.transactions -  [com.couchbase.transactions][TransactionsStartedEvent] Transactions successfully initialised, regular cleanup enabled=true, lost cleanup enabled=true
2024-09-10 13:53:55 [cb-events] INFO  com.couchbase.node -  [com.couchbase.node][NodeCreatedEvent] Node created {"coreId":"0xc4fd037600000001","managerPort":"8091","remote":"127.0.0.1"}
2024-09-10 13:53:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -  Tomcat initialized with port 8081 (http)
2024-09-10 13:53:55 [main] INFO  o.a.coyote.http11.Http11NioProtocol -  Initializing ProtocolHandler ["http-nio-8081"]
2024-09-10 13:53:56 [main] INFO  o.a.catalina.core.StandardService -  Starting service [Tomcat]
2024-09-10 13:53:56 [main] INFO  o.a.catalina.core.StandardEngine -  Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-10 13:53:56 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -  Initializing Spring embedded WebApplicationContext
2024-09-10 13:53:56 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -  Root WebApplicationContext: initialization completed in 1715 ms
2024-09-10 13:53:56 [cb-events] INFO  com.couchbase.core -  [com.couchbase.core][BucketOpenedEvent][195ms] Opened bucket "he-prod-bucket" {"coreId":"0xc4fd037600000001"}
2024-09-10 13:53:56 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer -  Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-09-10 13:53:56 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer -  Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-09-10 13:53:56 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver -  Exposing 1 endpoint beneath base path '/actuator'
2024-09-10 13:53:56 [main] INFO  o.a.coyote.http11.Http11NioProtocol -  Starting ProtocolHandler ["http-nio-8081"]
2024-09-10 13:53:56 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -  Tomcat started on port 8081 (http) with context path '/'
2024-09-10 13:53:56 [main] INFO  c.m.Wunderlist.WunderlistApplication -  Started WunderlistApplication in 2.809 seconds (process running for 3.163)
2024-09-10 13:53:56 [RMI TCP Connection(3)-192.168.68.101] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -  Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-10 13:53:56 [RMI TCP Connection(3)-192.168.68.101] INFO  o.s.web.servlet.DispatcherServlet -  Initializing Servlet 'dispatcherServlet'
2024-09-10 13:53:56 [RMI TCP Connection(3)-192.168.68.101] INFO  o.s.web.servlet.DispatcherServlet -  Completed initialization in 1 ms
2024-09-10 13:54:03 [http-nio-8081-exec-1] INFO  c.m.W.c.security.SecurityContext -  Current authenticated user: org.springframework.security.core.userdetails.User [Username=mete-admin, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[]]
2024-09-10 13:54:03 [http-nio-8081-exec-1] INFO  c.m.W.c.i.WunderlistAppInterceptor - 21368eb2-6b39-4bb1-9703-c6fefd2dd215 Incoming request: CorrelationId - 21368eb2-6b39-4bb1-9703-c6fefd2dd215, Username - mete-admin, Method - GET, URI - /api/v1/task/mete-adminaa
2024-09-10 13:54:03 [http-nio-8081-exec-1] INFO  c.m.W.c.i.WunderlistAppInterceptor - 21368eb2-6b39-4bb1-9703-c6fefd2dd215 Completed request: CorrelationId - 21368eb2-6b39-4bb1-9703-c6fefd2dd215, Method - GET, URI - /api/v1/task/mete-adminaa, Status - 200
2024-09-10 13:55:01 [cb-events] INFO  com.couchbase.transactions.cleanup -  [com.couchbase.transactions.cleanup][LogEvent] Waiting for 1 regular background threads to exit
2024-09-10 13:55:01 [cb-events] INFO  c.c.transactions.cleanup.regular -  [com.couchbase.transactions.cleanup.regular][LogEvent] Stopping background cleanup thread for transactions from this client
2024-09-10 13:55:01 [cb-events] INFO  c.c.transactions.cleanup.lost -  [com.couchbase.transactions.cleanup.lost][LogEvent] Client 1ee2a stopping lost cleanup process, 0 threads running
2024-09-10 13:55:01 [cb-events] INFO  c.c.transactions.cleanup.lost -  [com.couchbase.transactions.cleanup.lost][LogEvent] Client 1ee2a stopped lost cleanup process and removed client from client records
2024-09-10 13:55:01 [cb-events] INFO  com.couchbase.transactions.cleanup -  [com.couchbase.transactions.cleanup][LogEvent] Background threads have exitted
2024-09-10 13:55:01 [cb-events] INFO  com.couchbase.core -  [com.couchbase.core][BucketClosedEvent][499us] Closed bucket "he-prod-bucket" {"coreId":"0xc4fd037600000001"}
2024-09-10 13:55:01 [cb-events] INFO  com.couchbase.node -  [com.couchbase.node][NodeDisconnectedEvent][152us] Node disconnected {"coreId":"0xc4fd037600000001","managerPort":"8091","remote":"127.0.0.1"}
2024-09-10 13:55:01 [cb-events] INFO  com.couchbase.core -  [com.couchbase.core][ShutdownCompletedEvent][2500us] Completed shutdown and closed all open buckets {"coreId":"0xc4fd037600000001"}
